Name,Theme Type
Winter,Season
Spring,Season
Summer,Season
Autumn,Season
Montessori,Ethos
Forest School,Ethos
Reggio Emilia,Ethos
Steiner (Waldorf),Ethos
Scavenger hunt,Activity Style
Tuff tray,Activity Style
Water/sand tray,Activity Style
Mark making,Activity Style
Sorting,Activity Style
Dressing,Activity Style
Messy play,Activity Style
Problem solving,Activity Style
Modelling,Activity Style
Small world play,Activity Style
Music and movement,Activity Style
Role-play,Activity Style
Outdoor exploration,Activity Style
Creative arts and design,Activity Style
Mathematical,Activity Style
Literacy,Activity Style
All about me,Topic
Space,Topic
Hibernation,Topic
Day and night,Topic
Nature / rainbows and weather,Topic
Gardening,Topic
Mini beasts,Topic
Healthy eating,Topic
Baby animals,Topic
Life cycles,Topic
Eco friendly,Topic
People who help us,Topic
Cultures and countries,Topic
Music from different cultures,Topic
Languages,Topic
Physical education (yoga, dance, football etc),Topic
Sun safety,Topic
Teddy bears picnic,Topic
Traditional stories,Topic
Favourite stories,Topic
Holidays,Topic
Christmas,Celebration
Birthday,Celebration
Diwali,Celebration
Chinese New Year,Celebration
Easter,Celebration
Pancake Day,Celebration
St Patrick’s Day,Celebration
New Year,Celebration
Halloween,Celebration
Valentine’s Day,Celebration
Mother’s Day,Celebration
Father’s Day,Celebration
Earth Day,Celebration
Harvest Festival,Celebration
Bonfire Night,Celebration
Remembrance Day,Celebration
World Book Day,Celebration
St David’s Day,Celebration
Holi Festival,Celebration
Eid al-Fitr,Celebration
British Science Week,Celebration
World Wildlife Day,Celebration
